row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OR4F5	0.6100481965967399	-2.1783052740690323	3.4517434159942137	-0.63107392744649	0.5279921878395166	NA
OR4F29	0	NA	NA	NA	NA	NA
OR4F16	0.06082670410804542	-0.2729326228452913	3.47306314760016	-0.07858556301629127	0.9373622710660345	NA
LINC00115	38.150382826874555	-0.251616033539063	0.2994604560938458	-0.8402312506336757	0.40077873974663253	0.7800457530671671
SAMD11	37.0455704706302	-0.42517122905532173	0.8089924174874443	-0.5255565069148753	0.5991963824861275	0.8752248948886951
NOC2L	2792.0647260233704	-0.4054527676249049	0.3988833693811376	-1.0164694713995213	0.30940587803505776	0.717504323245582
KLHL17	197.27437517773632	-0.3238552916649218	0.4406886962424229	-0.7348844987999623	0.46240983967031396	0.8117929248360847
PLEKHN1	158.04611174420563	-1.6138850271776237	0.789778515703739	-2.043465345141172	0.04100639454698385	0.34717047980746196
HES4	130.63440849211364	-0.5679384858652047	0.7204822429496021	-0.7882754799620123	0.43053558692128646	0.7957932475107452
ISG15	235.90581396079108	-1.6958809327656992	0.8259058079231922	-2.0533587686350465	0.04003779503515065	0.34425923671438824
AGRN	7816.288173425446	-0.48693486965163457	0.5623115881931092	-0.8659520448730487	0.38651646042584176	0.7721916516512403
RNF223	10.946710469904218	-3.5199114901405553	1.0545252349039198	-3.3379111031527495	8.441075059824418e-4	0.05797126001340198
C1orf159	174.17417515038454	-0.4830754471600109	0.3834363579341166	-1.2598582193997747	0.207720513074748	0.626932482097723
TTLL10	164.16135919213107	1.1543242822356423	1.0687265517451254	1.080093200969644	NA	NA
TNFRSF18	80.46419859999385	-0.6421614377093257	0.7026417899488359	-0.9139243450864	0.36075660038208174	0.7551655706746051
TNFRSF4	30.13592014418505	0.5766797136234825	0.5131170019583948	1.1238756685560802	0.2610657747678603	0.6742736799616363
SDF4	1486.508481403469	0.13654416877444375	0.4278068449134368	0.3191724732737092	0.749595729329315	0.9299309686123247
B3GALT6	33.3105774311156	-0.31951621896741655	0.34095407394079424	-0.9371239219241583	0.3486948175681075	0.7459304859283997
FAM132A	28.855691493076883	-0.8299673330634026	0.7174446028029019	-1.1568382141574396	0.24733846580121152	0.663801043507147
UBE2J2	454.1188967870292	-0.1669157182391238	0.25958374547585605	-0.6430129819305218	0.520215676274088	0.8405181654314019
SCNN1D	57.98906031601507	-0.18770555352991083	0.5491269471770157	-0.34182542760809437	0.7324822725366551	0.9248813226481173
ACAP3	1032.2725558878865	-0.6070680511288157	0.45286387655104765	-1.3405088870239927	0.1800799570155971	0.5979353722667644
PUSL1	111.51622723978011	-0.42404789081543137	0.39888033794444455	-1.063095496260064	0.2877386466675523	0.6965216520386931
TAS1R3	154.6809020039276	-0.7939606044352026	0.6540236110831403	-1.2139632132245348	0.22476177203427677	0.641068474171041
DVL1	1190.4183872440276	-0.7430734487038348	0.4335059035193685	-1.71410225944163	0.08650994692524178	0.4582614117020983
MXRA8	588.517405042168	0.49765487107681106	0.5014547281255285	0.9924223327937867	0.3209915491885693	0.7261977784052502
AURKAIP1	324.74933771193946	-0.03308414225899527	0.4298099597056108	-0.07697388464812575	0.9386443203461243	0.9847799699935088
CCNL2	2737.4655870584475	-0.32624680942211215	0.3520559444587131	-0.9266902449942082	0.3540873838217886	0.7506132598254814
MRPL20	564.0567888260681	-0.11928776781267299	0.33620817109382695	-0.354803297684823	0.7227369577134666	0.921633424169722
